step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
92160,462.5535888671875,-0.21195681393146515,1.0357756614685059,1.5407999753952026,0.8559000492095947,0.6517705917358398,1.0868473052978516,0.8408331871032715,0.6365262866020203,4.123607158660889,-30.78137969970703,-0.014938240870833397,-4.425912380218506,87.0,101.21659851074219,0.40413713455200195,9216.0,8.0,3.3772950172424316,0.0,2.817795515060425,14.0,10.17505168914795,6.0,2.8558273315429688,-2.807224750518799,0.9803022146224976,-0.003012588480487466,2.6090972423553467,,,
99984,132.05740356445312,-0.39031729102134705,1.0177087783813477,0.8373765349388123,0.5004523396492004,0.5600834488868713,,,,,,,,,,,,8.0,3.283022403717041,0.0,2.810122489929199,14.0,10.12126350402832,6.0,2.86232590675354,-2.800522804260254,1.321658730506897,-0.0020132127683609724,2.7984979152679443,252.4166717529297,-177.44061279296875,-231.8550262451172
101376,510.3308410644531,-0.3331291675567627,1.0363855361938477,1.396710753440857,1.0209370851516724,0.6492813229560852,1.0618419647216797,0.8686135411262512,0.6380001902580261,3.9555411338806152,-11.517195701599121,-0.00276276096701622,-4.256106376647949,85.0,102.60990905761719,0.3799034655094147,9216.0,,,,,,,,,,,,,,,
110592,141.02099609375,-0.4909886419773102,1.011191487312317,0.9057217240333557,0.8091008067131042,0.57802414894104,1.1298496723175049,0.846167802810669,0.6392939686775208,3.869145631790161,-17.763628005981445,-0.005166446324437857,-4.189144134521484,87.0,97.44047546386719,0.37717682123184204,9216.0,8.0,3.200584650039673,0.0,2.8077657222747803,14.0,10.058414459228516,6.0,2.863177537918091,-2.796067714691162,0.8314010500907898,-0.0034255441278219223,2.1233725547790527,,,
119808,233.16073608398438,-0.2653328478336334,0.9502572417259216,1.004464030265808,0.6470040678977966,0.6516637206077576,1.0746488571166992,0.8650165796279907,0.6314381957054138,3.8961501121520996,21.728729248046875,0.007112110964953899,-4.177018165588379,79.0,86.13323974609375,0.3580930829048157,9216.0,,,,,,,,,-2.792583703994751,0.8271276950836182,-0.0021301712840795517,1.9401884078979492,,,
129024,668.4707641601562,-0.589233934879303,0.9872903227806091,1.025743842124939,0.9090065956115723,0.6593871712684631,1.1431623697280884,0.8741068243980408,0.6343650221824646,3.909072160720825,26.072677612304688,0.009083859622478485,-4.188446998596191,83.0,83.58499145507812,0.36947646737098694,9216.0,8.0,3.1107351779937744,0.0,2.805338144302368,14.0,10.008177757263184,6.0,2.865355968475342,-2.787611246109009,0.5446854829788208,-0.0029174848459661007,1.2473077774047852,,,
138240,110.19612121582031,-0.6067853569984436,1.0102322101593018,1.6265947818756104,0.8074844479560852,0.6590320467948914,1.1279436349868774,0.8854457139968872,0.6350330114364624,3.963027000427246,38.73433303833008,0.01477458793669939,-4.3153462409973145,87.0,72.27448272705078,0.3821931779384613,9216.0,8.0,2.954953908920288,0.0,2.7750611305236816,14.0,9.922582626342773,6.0,2.8684258460998535,-2.7806546688079834,0.513391375541687,-0.0018680650973692536,1.1238466501235962,,,
147456,135.66224670410156,-0.4512120187282562,0.9318468570709229,0.7017430067062378,0.6517629027366638,0.5787324905395508,1.1206731796264648,0.8893617987632751,0.6370630860328674,3.99751353263855,36.830814361572266,0.012935332953929901,-4.296263217926025,84.0,67.673828125,0.3775578737258911,9216.0,8.0,2.806264638900757,0.0,2.7401461601257324,14.0,9.838940620422363,6.0,2.862433910369873,-2.7743301391601562,0.12283658236265182,-0.001508735353127122,0.9972933530807495,,,
149976,15.434225082397461,-0.4132930040359497,0.8076677918434143,0.9731839299201965,0.736017644405365,0.5759146809577942,,,,,,,,,,,,,,,,,,,,-2.767573595046997,0.5090978741645813,-0.001866521779447794,0.934411346912384,209.8333282470703,-123.88603210449219,-177.44061279296875
156672,973.7471923828125,-0.5613789558410645,1.0274105072021484,0.9079546928405762,0.8517074584960938,0.6376247406005859,1.0445705652236938,0.8868369460105896,0.6411064863204956,4.019078254699707,46.86241912841797,0.016312414780259132,-4.325630187988281,85.0,68.53931427001953,0.3841022253036499,9216.0,8.0,2.6688644886016846,0.0,2.704540252685547,14.0,9.717381477355957,6.0,2.8489768505096436,,,,,,,
