step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check,actions/dim_0_autocorrelation,actions/dim_0_dynamic_range,actions/dim_10_autocorrelation,actions/dim_10_dynamic_range,actions/dim_11_autocorrelation,actions/dim_11_dynamic_range,actions/dim_1_autocorrelation,actions/dim_1_dynamic_range,actions/dim_2_autocorrelation,actions/dim_2_dynamic_range,actions/dim_3_autocorrelation,actions/dim_3_dynamic_range,actions/dim_4_autocorrelation,actions/dim_4_dynamic_range,actions/dim_5_autocorrelation,actions/dim_5_dynamic_range,actions/dim_6_autocorrelation,actions/dim_6_dynamic_range,actions/dim_7_autocorrelation,actions/dim_7_dynamic_range,actions/dim_8_autocorrelation,actions/dim_8_dynamic_range,actions/dim_9_autocorrelation,actions/dim_9_dynamic_range,actions/entropy,actions/stability
92160,462.5535889,-0.211956814,1.035775661,1.540799975,0.855900049,0.651770592,1.086847305,0.840833187,0.636526287,4.123607159,-30.7813797,-0.014938241,-4.42591238,87,101.2165985,0.404137135,9216,103.2699966,-33.42863464,46,8,3.377295017,0,2.817795515,14,10.17505169,6,2.855827332,0.004461287,0.028276909,0.200000003,-2.807224751,0.211288393,4.92E-05,0.980302215,-0.003012588,0.982678652,2.609097242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99984,132.0574036,-0.390317291,1.017708778,0.837376535,0.50045234,0.560083449,,,,,,,,,,,,,,,8,3.283022404,0,2.81012249,14,10.1212635,6,2.862325907,0.002970337,0.009063947,0.200000003,-2.800522804,0.178653061,4.91E-05,1.321658731,-0.002013213,0.98029232,2.798497915,252.4166718,-177.4406128,-231.8550262,,,,,,,,,,,,,,,,,,,,,,,,,,
101376,510.3308411,-0.333129168,1.036385536,1.396710753,1.020937085,0.649281323,1.061841965,0.868613541,0.63800019,3.955541134,-11.5171957,-0.002762761,-4.256106377,85,102.6099091,0.379903466,9216,106.8799973,-15.21046066,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110592,141.0209961,-0.490988642,1.011191487,0.905721724,0.809100807,0.578024149,1.129849672,0.846167803,0.639293969,3.869145632,-17.76362801,-0.005166446,-4.189144135,87,97.44047546,0.377176821,9216,105.0800018,-11.24813652,44,8,3.20058465,0,2.807765722,14,10.05841446,6,2.863177538,0.003279445,0.023090277,0.200000003,-2.796067715,0.303375483,4.90E-05,0.83140105,-0.003425544,0.978397548,2.123372555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119808,233.1607361,-0.265332848,0.950257242,1.00446403,0.647004068,0.651663721,1.074648857,0.86501658,0.631438196,3.896150112,21.72872925,0.007112111,-4.177018166,79,86.13323975,0.358093083,9216,114.7600021,15.04166031,45,,,,,,,,,0.003936676,0.020182291,0.200000003,-2.792583704,0.295080304,4.89E-05,0.827127695,-0.002130171,0.976877689,1.940188408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129024,668.4707642,-0.589233935,0.987290323,1.025743842,0.909006596,0.659387171,1.14316237,0.874106824,0.634365022,3.909072161,26.07267761,0.00908386,-4.188446999,83,83.58499146,0.369476467,9216,111.0699997,24.6687336,45,8,3.110735178,0,2.805338144,14,10.00817776,6,2.865355968,0.004960519,0.028870082,0.200000003,-2.787611246,0.404599667,4.88E-05,0.544685483,-0.002917485,0.973312438,1.247307777,,,,1,6.229180336,1,6.731207371,1,6.563689232,-1,6.758001328,-1,6.386116505,1,6.372665882,-1,7.348841667,1,6.395889282,1,6.874926567,-1,6.770074844,1,7.05173111,-1,6.307840347,0,1.102144241
138240,110.1961212,-0.606785357,1.01023221,1.626594782,0.807484448,0.659032047,1.127943635,0.885445714,0.635033011,3.963027,38.73433304,0.014774588,-4.315346241,87,72.27448273,0.382193178,9216,108.2099991,35.47535706,46,8,2.954953909,0,2.775061131,14,9.922582626,6,2.868425846,0.004151015,0.015458623,0.200000003,-2.780654669,0.464574933,4.87E-05,0.513391376,-0.001868065,0.970125556,1.12384665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147456,135.6622467,-0.451212019,0.931846857,0.701743007,0.651762903,0.578732491,1.12067318,0.889361799,0.637063086,3.997513533,36.83081436,0.012935333,-4.296263218,84,67.67382813,0.377557874,9216,109.2799988,34.35420227,46,8,2.806264639,0,2.74014616,14,9.83894062,6,2.86243391,0.003353437,0.010546875,0.200000003,-2.774330139,0.502838016,4.86E-05,0.122836582,-0.001508735,0.967408657,0.997293353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149976,15.43422508,-0.413293004,0.807667792,0.97318393,0.736017644,0.575914681,,,,,,,,,,,,,,,,,,,,,,,0.004577516,0.030425347,0.200000003,-2.767573595,0.49603343,4.85E-05,0.509097874,-0.001866522,0.963588476,0.934411347,209.8333282,-123.8860321,-177.4406128,,,,,,,,,,,,,,,,,,,,,,,,,,
156672,973.7471924,-0.561378956,1.027410507,0.907954693,0.851707458,0.637624741,1.044570565,0.886836946,0.641106486,4.019078255,46.86241913,0.016312415,-4.325630188,85,68.53931427,0.384102225,9216,105.1699982,48.77843094,45,8,2.668864489,0,2.704540253,14,9.717381477,6,2.848976851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
