step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,episode/real_actions_Th_max,episode/real_actions_Th_mean,episode/real_actions_Th_min,episode/real_actions_Th_std,episode/real_actions_dt_max,episode/real_actions_dt_mean,episode/real_actions_dt_min,episode/real_actions_dt_std,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
90112,224.33120727539062,-0.04546121880412102,0.9029384255409241,0.353505939245224,1.2262495756149292,0.6867581605911255,0.7738827466964722,1.4197404384613037,0.5807439088821411,0.540141761302948,-730.8384399414062,-0.022972630336880684,-0.21367348730564117,48.0,259.3575439453125,0.04602910205721855,8192.0,-2.5773308277130127,0.006702975369989872,-0.011231578886508942,0.04481757804751396,,,,,,,,,,,
98304,512.6756591796875,0.13421741127967834,0.9258715510368347,0.8475881218910217,1.21671724319458,0.667770266532898,0.7423068881034851,1.4033435583114624,0.5908448100090027,0.5398176908493042,-721.318115234375,-0.02483796514570713,-2.8383514881134033,51.0,233.71514892578125,0.05646616593003273,8192.0,-2.5508716106414795,0.003534178249537945,-0.010407191701233387,0.044342271983623505,30.0,16.465173721313477,4.0,9.472299575805664,4.0,2.4710891246795654,0.5999999046325684,1.1811290979385376,,,
100000,305.09429931640625,0.1047498881816864,0.9460530281066895,0.18797928094863892,1.100017786026001,0.6438502669334412,,,,,,,,,,,,-2.5210466384887695,-0.003473859280347824,-0.013567919842898846,0.06288260221481323,,,,,,,,,177.3125,-545.7962036132812,-585.628173828125
106496,149.45770263671875,0.07613740116357803,0.8411845564842224,0.6349617838859558,1.540425419807434,0.49501556158065796,0.7697080969810486,1.3902673721313477,0.5565266609191895,0.5382683277130127,-708.046875,-0.023308981209993362,-0.6705074906349182,49.0,279.39984130859375,0.04667770490050316,8192.0,,,,,,,,,,,,,,,
114688,186.37820434570312,-0.05048803612589836,1.042177677154541,0.30984097719192505,1.1668800115585327,0.7597053050994873,0.7551647424697876,1.3364497423171997,0.5862239599227905,0.5354503393173218,-678.4880981445312,-0.023256856948137283,-0.15775159001350403,53.0,200.38233947753906,0.047121353447437286,8192.0,-2.481086254119873,-0.016799120232462883,-0.015450069680809975,0.047680001705884933,,,,,,,,,,,
122880,372.21044921875,-0.020497145131230354,0.9261959791183472,0.8200145363807678,1.2550987005233765,0.6477038264274597,0.9041354656219482,1.320757508277893,0.5707005858421326,0.5378473401069641,-709.0946044921875,-0.0237268153578043,-2.900059461593628,50.0,220.0263214111328,0.06403545290231705,8192.0,-2.44992733001709,0.018040813505649567,-0.008844410069286823,0.036485325545072556,,,,,,,,,,,
131072,74.55113220214844,0.07017336040735245,1.0313035249710083,0.5174043774604797,1.1710548400878906,0.42896631360054016,0.7458662986755371,1.3936958312988281,0.5385110974311829,0.5394604206085205,-693.222900390625,-0.022091807797551155,-0.17522840201854706,51.0,215.0504150390625,0.04640132188796997,8192.0,-2.4287800788879395,-0.011036936193704605,-0.014823115430772305,0.06295169144868851,30.0,16.547016143798828,4.0,9.44973373413086,4.0,2.495260238647461,0.5999999046325684,1.1687850952148438,,,
139264,426.2230529785156,-0.08365819603204727,0.8294334411621094,1.192973017692566,1.5518919229507446,0.5753487348556519,0.8125652074813843,1.3933590650558472,0.5288045406341553,0.5392739772796631,-710.05224609375,-0.02474578656256199,-0.18316835165023804,50.0,259.2873229980469,0.0469006672501564,8192.0,-2.414294481277466,0.019123733043670654,0.003102121641859412,0.0426851287484169,,,,,,,,,,,
147456,158.63522338867188,0.06153719872236252,0.9279190897941589,0.6933830976486206,1.2024552822113037,0.44903209805488586,0.8399198055267334,1.4404544830322266,0.5486990213394165,0.5372525453567505,-755.7706909179688,-0.023952119052410126,-0.4362744987010956,51.0,253.11801147460938,0.04704016447067261,8192.0,-2.3867363929748535,-0.009416434913873672,-0.01343725435435772,0.03871375322341919,,,,,,,,,,,
150000,105.70234680175781,-0.10954748839139938,0.9213841557502747,1.1115282773971558,1.1274560689926147,0.5148918628692627,,,,,,,,,,,,-2.359583854675293,-0.020850103348493576,-0.018248582258820534,0.04462618753314018,,,,,,,,,155.125,-572.5879516601562,-545.7962036132812
