step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,episode/real_actions_Th_max,episode/real_actions_Th_mean,episode/real_actions_Th_min,episode/real_actions_Th_std,episode/real_actions_dt_max,episode/real_actions_dt_mean,episode/real_actions_dt_min,episode/real_actions_dt_std,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check,actions/dim_0_autocorrelation,actions/dim_0_dynamic_range,actions/dim_10_autocorrelation,actions/dim_10_dynamic_range,actions/dim_11_autocorrelation,actions/dim_11_dynamic_range,actions/dim_12_autocorrelation,actions/dim_12_dynamic_range,actions/dim_13_autocorrelation,actions/dim_13_dynamic_range,actions/dim_14_autocorrelation,actions/dim_14_dynamic_range,actions/dim_15_autocorrelation,actions/dim_15_dynamic_range,actions/dim_1_autocorrelation,actions/dim_1_dynamic_range,actions/dim_2_autocorrelation,actions/dim_2_dynamic_range,actions/dim_3_autocorrelation,actions/dim_3_dynamic_range,actions/dim_4_autocorrelation,actions/dim_4_dynamic_range,actions/dim_5_autocorrelation,actions/dim_5_dynamic_range,actions/dim_6_autocorrelation,actions/dim_6_dynamic_range,actions/dim_7_autocorrelation,actions/dim_7_dynamic_range,actions/dim_8_autocorrelation,actions/dim_8_dynamic_range,actions/dim_9_autocorrelation,actions/dim_9_dynamic_range,actions/entropy,actions/stability
81920,29.150184631347656,0.1438378393650055,0.9938464164733888,0.70924973487854,1.2094959020614624,0.6157082319259644,0.7067548632621765,1.320758819580078,0.5931834578514099,0.5415286421775818,-659.3018188476562,-0.0223899390548467,-0.6173343062400818,51.0,162.31533813476562,0.0473600700497627,8192.0,159.67999267578125,-636.9651276034833,38.0,0.0135899251326918,0.1132568344473838,0.2000000029802322,-2.6061770915985107,0.9477326273918152,0.000927630928345,0.0068079754710197,-0.0100544625893235,0.8909649848937988,0.0478031039237976,,,,,,,,,,,,1.0,6.595962524414063,1.0,6.766899108886719,1.0,6.194056510925293,-1.0,6.681986331939697,1.0,6.30129337310791,-1.0,6.0784196853637695,-1.0,6.405056953430176,1.0,7.28080415725708,-1.0,6.868930339813232,-1.0,6.040899276733398,-1.0,5.854243278503418,1.0,7.193947792053223,1.0,6.283926963806152,1.0,6.842060089111328,-1.0,6.598704814910889,1.0,6.674346923828125,0.0,1.008584976196289
90112,224.33120727539065,-0.045461218804121,0.902938425540924,0.353505939245224,1.2262495756149292,0.6867581605911255,0.7738827466964722,1.4197404384613037,0.5807439088821411,0.540141761302948,-730.8384399414062,-0.0229726303368806,-0.2136734873056411,48.0,259.3575439453125,0.0460291020572185,8192.0,162.6999969482422,-654.2427799408174,38.0,0.0153303844854235,0.1372558623552322,0.2000000029802322,-2.5773308277130127,0.9456045031547546,0.0009197577019222,0.0067029753699898,-0.0112315788865089,0.8746660947799683,0.0448175780475139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98304,512.6756591796875,0.1342174112796783,0.9258715510368348,0.8475881218910217,1.21671724319458,0.667770266532898,0.7423068881034851,1.4033435583114624,0.5908448100090027,0.5398176908493042,-721.318115234375,-0.0248379651457071,-2.838351488113404,51.0,233.71514892578125,0.0564661659300327,8192.0,165.0399932861328,-660.3507953249629,38.0,0.0164735298603773,0.1347534209489822,0.2000000029802322,-2.5508716106414795,0.9512824416160583,0.0009119180613197,0.0035341782495379,-0.0104071917012333,0.8661586046218872,0.0443422719836235,30.0,16.465173721313477,4.0,9.472299575805664,4.0,2.471089124679565,0.5999999046325684,1.1811290979385376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,305.09429931640625,0.1047498881816864,0.9460530281066896,0.1879792809486389,1.100017786026001,0.6438502669334412,,,,,,,,,,,,,,,0.0164028145372867,0.1507080048322677,0.2000000029802322,-2.521046638488769,0.9467037320137024,0.0009041118901222,-0.0034738592803478,-0.0135679198428988,0.8500311374664307,0.0628826022148132,,,,,,,,,177.3125,-529.4640586796985,-585.628173828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106496,149.45770263671875,0.076137401163578,0.8411845564842224,0.6349617838859558,1.540425419807434,0.4950155615806579,0.7697080969810486,1.3902673721313477,0.5565266609191895,0.5382683277130127,-708.046875,-0.0233089812099933,-0.6705074906349182,49.0,279.3998413085937,0.0466777049005031,8192.0,163.36000061035156,-639.5848915236181,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114688,186.37820434570312,-0.0504880361258983,1.042177677154541,0.309840977191925,1.1668800115585327,0.7597053050994873,0.7551647424697876,1.3364497423171997,0.5862239599227905,0.5354503393173218,-678.4880981445312,-0.0232568569481372,-0.157751590013504,53.0,200.38233947753903,0.0471213534474372,8192.0,158.82000732421875,-635.0977777663609,38.0,0.021697387099266,0.1732055693864822,0.2000000029802322,-2.481086254119873,0.9418070316314696,0.0008963393629528,-0.0167991202324628,-0.0154500696808099,0.8321783542633057,0.0476800017058849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122880,372.21044921875,-0.0204971451312303,0.9261959791183472,0.8200145363807678,1.2550987005233765,0.6477038264274597,0.9041354656219482,1.320757508277893,0.5707005858421326,0.5378473401069641,-709.0946044921875,-0.0237268153578043,-2.900059461593628,50.0,220.0263214111328,0.064035452902317,8192.0,158.41000366210938,-640.6293021783326,39.0,0.0233566258102655,0.1651221811771392,0.2000000029802322,-2.44992733001709,0.9557639360427856,0.0008886003633961,0.0180408135056495,-0.0088444100692868,0.8225662708282471,0.0364853255450725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131072,74.55113220214844,0.0701733604073524,1.0313035249710083,0.5174043774604797,1.1710548400878906,0.4289663136005401,0.7458662986755371,1.393695831298828,0.5385110974311829,0.5394604206085205,-693.222900390625,-0.0220918077975511,-0.175228402018547,51.0,215.0504150390625,0.0464013218879699,8192.0,164.41000366210938,-638.2982174257538,39.0,0.0249088555574417,0.1951415985822677,0.2000000029802322,-2.4287800788879395,0.9296844005584716,0.000880894891452,-0.0110369361937046,-0.0148231154307723,0.814481258392334,0.0629516914486885,30.0,16.547016143798828,4.0,9.44973373413086,4.0,2.495260238647461,0.5999999046325684,1.1687850952148438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139264,426.2230529785156,-0.0836581960320472,0.8294334411621094,1.192973017692566,1.5518919229507446,0.5753487348556519,0.8125652074813843,1.3933590650558472,0.5288045406341553,0.5392739772796631,-710.05224609375,-0.0247457865625619,-0.183168351650238,50.0,259.2873229980469,0.0469006672501564,8192.0,163.47999572753906,-636.851395903312,39.0,0.0228695180267095,0.1472656279802322,0.2000000029802322,-2.414294481277466,0.955763816833496,0.0008732229471206,0.0191237330436706,0.0031021216418594,0.8108724355697632,0.0426851287484169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147456,158.63522338867188,0.0615371987223625,0.9279190897941588,0.6933830976486206,1.2024552822113037,0.4490320980548858,0.8399198055267334,1.4404544830322266,0.5486990213394165,0.5372525453567505,-755.7706909179688,-0.0239521190524101,-0.4362744987010956,51.0,253.1180114746093,0.0470401644706726,8192.0,164.24000549316406,-633.1977797778047,40.0,0.0239032208919525,0.1810724437236786,0.2000000029802322,-2.386736392974853,0.9606479406356812,0.0008655845886096,-0.0094164349138736,-0.0134372543543577,0.7971975803375244,0.0387137532234191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150000,105.7023468017578,-0.1095474883913993,0.9213841557502748,1.1115282773971558,1.1274560689926147,0.5148918628692627,,,,,,,,,,,,,,,0.0302982553839683,0.2091850340366363,0.2000000029802322,-2.359583854675293,0.9536718726158142,0.0008579798159189,-0.0208501033484935,-0.0182485822588205,0.7864038944244385,0.0446261875331401,,,,,,,,,155.125,-529.4736939218168,-545.7962036132812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155648,162.06805419921875,0.196676880121231,0.943504273891449,0.9079057574272156,1.4515810012817385,0.611263632774353,0.7391043901443481,1.337148904800415,0.4877861738204956,0.5371864438056946,-646.9025268554688,-0.02324297465384,-0.1531883925199508,51.0,204.2948455810547,0.0466003492474556,8192.0,160.77999877929688,-638.685367440537,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163840,529.6649169921875,0.0767166018486023,0.8772631883621216,1.2276923656463623,1.4849909543991089,0.4848013520240783,0.808835506439209,1.4002792835235596,0.4813239872455597,0.5375126004219055,-699.9524536132812,-0.0234620664268732,-0.1787912845611572,52.0,273.19293212890625,0.0473848283290863,8192.0,156.75,-633.3264836989446,40.0,0.024496266618371,0.1635954529047012,0.2000000029802322,-2.3430771827697754,0.9529834389686584,0.0008504085708409,0.0094155827537179,-0.0026146315503865,0.7815773487091064,0.0428510271012783,30.0,16.611570358276367,4.0,9.364628791809082,4.0,2.520484685897827,0.5999999046325684,1.1579525470733645,,,,1.0,6.8578081130981445,1.0,5.793527603149414,-1.0,6.517516136169434,1.0,5.875340461730957,-1.0,6.337381362915039,1.0,6.8237810134887695,-1.0,6.923540115356445,1.0,5.8759307861328125,1.0,5.782586097717285,-1.0,7.130304336547852,-1.0,6.472255706787109,-1.0,6.388751029968262,1.0,6.051097869873047,-1.0,5.949874401092529,1.0,5.920202255249023,-1.0,6.0361328125,0.0,0.8916723728179932
